/3/7/4/7/asteroid,  1           4000      6828.4271      6828.4271              1
/asteroid/1  ,  1           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid,  2           4000      6828.4271      6828.4271              1
/asteroid/2  ,  2           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid,  3           4000      6828.4271      6828.4271              1
/asteroid/3  ,  3           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid,  4           4000      6828.4271      6828.4271              1
/asteroid/4  ,  4           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid,  5           4000      6828.4271      6828.4271              1
/asteroid/5  ,  5           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid,  6           4000      6828.4271      6828.4271              0
/asteroid/6  ,  6           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid,  7           4000      6828.4271      6828.4271              0
/asteroid/7  ,  7           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid,  8           4000      6828.4271      6828.4271              0
/asteroid/8  ,  8           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid,  9           4000      6828.4271      6828.4271              1
/asteroid/9  ,  9           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid, 10           4000      6828.4271      6828.4271              0
/asteroid/10 , 10           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 11           4000      6828.4271      6828.4271              0
/asteroid/11 , 11           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 12           4000      6828.4271      6828.4271              0
/asteroid/12 , 12           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 13           4000      6828.4271      6828.4271              1
/asteroid/13 , 13           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid, 14           4000      6828.4271      6828.4271              1
/asteroid/14 , 14           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid, 15           4000      6828.4271      6828.4271              0
/asteroid/15 , 15           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 16           4000      6828.4271      6828.4271              1
/asteroid/16 , 16           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid, 17           4000      6828.4271      6828.4271              1
/asteroid/17 , 17           4000      6828.4271      6828.4271              1
/3/7/4/7/asteroid, 18           4000      6828.4271      6828.4271              0
/asteroid/18 , 18           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 19           4000      6828.4271      6828.4271              0
/asteroid/19 , 19           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 20           4000      6828.4271      6828.4271              0
/asteroid/20 , 20           4000      6828.4271      6828.4271              0
/3/7/4/7/asteroid, 21           4000      6828.4271      6828.4271              0
/asteroid/21 , 21           4000      6828.4271      6828.4271              0
